OS and Version	Status	Complete Name
iOS 13.3	VIDEO_OK	Apple iPhone
iOS 13.3	VIDEO_OK	Apple iPhone
Windows 10	VIDEO_OK	Google Chrome
iOS 13.3	VIDEO_OK	Apple iPhone 7
Android 8.1.0	VIDEO_OK	Samsung SM-C710F (Galaxy C8)
Android 6.0	VIDEO_OK	Lephone W7
Windows 8.1	VIDEO_OK	Google Chrome
Android 8.1.0	VIDEO_OK	OPPO CPH1909 (A5s)
Android 9	VIDEO_OK	OPPO CPH1923 (A1K)
Android 8.1.0	VIDEO_OK	Huawei DUB-LX1 (Y7 Pro)
Android 8.0.0	VIDEO_FAILURE	Huawei ANE-LX1 (P20 Lite)
Android 9	VIDEO_OK	HTC U-3u (U11)
macOS 10.14.6	VIDEO_OK	Apple Safari
iOS 13.3	VIDEO_OK	Apple iPhone
Android 8.1.0	VIDEO_OK	Xiaomi Redmi 6
Android 7.0	VIDEO_OK	Samsung SM-G928F (Galaxy S6 Edge Plus)
Windows 7	VIDEO_OK	Opera Software Opera
Android 6.0.1	VIDEO_OK	Samsung SM-G532G (Galaxy Grand Prime+)
Android 9	VIDEO_OK	Samsung SM-N950F (Galaxy Note8)
Windows 7	VIDEO_OK	Opera Software Opera
Windows 7	VIDEO_OK	Google Chrome
iOS 11.2.1	VIDEO_OK	Apple iPad
Windows 10	VIDEO_OK	Google Chrome
Windows 10	VIDEO_OK	Google Chrome
Windows 10	VIDEO_OK	Microsoft Edge
Android 8.1.0	VIDEO_OK	Xiaomi Redmi 5A
